student_id,first_name,last_name,email,phone
STU-11A-001,Aarti,Sharma,aarti.sharma@student.school.edu,9876545001
STU-11A-002,Babita,Gupta,babita.gupta@student.school.edu,9876545002
STU-11A-003,Chandni,Singh,chandni.singh@student.school.edu,9876545003
STU-11A-004,Damini,Patel,damini.patel@student.school.edu,9876545004
STU-11A-005,Esha,Kumar,esha.kumar@student.school.edu,9876545005
STU-11A-006,Farha,Rao,farha.rao@student.school.edu,9876545006
STU-11A-007,Geetika,Joshi,geetika.joshi@student.school.edu,9876545007
STU-11A-008,Harsha,Verma,harsha.verma@student.school.edu,9876545008
STU-11A-009,Indu,Mehta,indu.mehta@student.school.edu,9876545009
STU-11A-010,Janvi,Agarwal,janvi.agarwal@student.school.edu,9876545010
STU-11A-011,Kritika,Reddy,kritika.reddy@student.school.edu,9876545011
STU-11A-012,Lavanya,Iyer,lavanya.iyer@student.school.edu,9876545012
STU-11A-013,Madhuri,Nair,madhuri.nair@student.school.edu,9876545013
STU-11A-014,Nandini,Choudhury,nandini.choudhury@student.school.edu,9876545014
STU-11A-015,Prachi,Das,prachi.das@student.school.edu,9876545015
STU-11A-016,Akash,Sharma,akash.sharma@student.school.edu,9876545016
STU-11A-017,Brijesh,Gupta,brijesh.gupta@student.school.edu,9876545017
STU-11A-018,Chandan,Singh,chandan.singh@student.school.edu,9876545018
STU-11A-019,Dinesh,Patel,dinesh.patel@student.school.edu,9876545019
STU-11A-020,Girish,Kumar,girish.kumar@student.school.edu,9876545020
STU-11A-021,Hitesh,Rao,hitesh.rao@student.school.edu,9876545021
STU-11A-022,Jatin,Joshi,jatin.joshi@student.school.edu,9876545022
STU-11A-023,Keshav,Verma,keshav.verma@student.school.edu,9876545023
STU-11A-024,Lalit,Mehta,lalit.mehta@student.school.edu,9876545024
STU-11A-025,Mohit,Agarwal,mohit.agarwal@student.school.edu,9876545025
